id,Hardness,allelectrons_Total,density_Total,allelectrons_Average,val_e_Average,atomicweight_Average,ionenergy_Average,el_neg_chi_Average,R_vdw_element_Average,R_cov_element_Average,zaratio_Average,density_Average
91,6.0,126.0,20.855328,15.5,4.5,33.33735333333333,11.625516666666668,2.845,1.7166666666666668,0.915,0.4830516666666667,1.00728
92,1.8,184.0,38.191,31.5,5.5,70.83746666666666,9.0432,2.135,1.913333333333333,1.2333333333333334,0.45825,3.865
93,5.5,36.0,7.441332000000001,18.0,4.0,37.346215,10.2719,2.375,1.625,1.02,0.4775399999999999,1.85225
94,6.0,150.0,16.630000000000006,14.333333333333336,4.666666666666667,30.61252,11.82415,2.8316666666666666,1.7266666666666666,0.8833333333333334,0.4830383333333333,2.13111
95,6.3,58.0,11.874,19.33333333333333,4.666666666666667,39.987666666666655,9.5408,2.33,1.88,1.106666666666667,0.4878333333333333,1.9368
96,2.3,72.0,7.4454775,14.4,4.4,30.341818,11.1479375,2.6425,1.765,0.9559999999999998,0.4820359999999999,1.07245
97,2.5,76.0,6.07141175,11.6,4.4,22.521871850000004,12.04083,2.644,1.7420000000000002,0.91,0.4912240000000001,0.75755
98,6.0,46.0,9.683996,12.6,4.8,24.789618,10.98774,2.752,1.6880000000000002,0.908,0.491678,1.86581
99,2.5,41.0,9.133,20.5,4.0,43.498522,9.6769,2.205,1.925,1.165,0.462985,4.74
100,6.0,114.0,2.957992,14.4,4.8,32.38773899975,10.78917,2.684,1.8590000000000004,0.974,0.4820359999999999,1.11239
101,1.8,64.0,10.9728255,32.0,4.0,72.2365,9.695,2.295,1.925,1.1800000000000002,0.436875,5.67675
102,5.5,58.0,0.973995,11.0,4.0,23.0,11.2603,2.115,1.905,1.12,0.489272,0.93673
103,6.0,114.0,9.773996,22.8,4.8,49.204038,10.78917,2.829,1.8590000000000004,0.974,0.4673040000000001,4.57578
104,2.3,100.0,5.62148,10.0,4.0,20.3920334,13.476938,2.455,1.87,0.98,0.49901,0.6795
105,2.0,14.0,1.55316,4.666666666666667,1.3333333333333333,8.773226666666666,9.8771,1.9866666666666664,1.99,1.36,0.42632,0.33885
106,4.8,126.0,13.387328,22.66666666666667,5.0,54.01963666666666,11.654066666666669,2.8266666666666667,1.7616666666666667,0.9333333333333332,0.4810716666666666,2.6772
107,5.5,114.0,10.507072,14.6,4.0,32.38773899975,11.510862500000002,2.24,1.75,0.9,0.4818274999999999,1.81103
108,3.0,64.0,9.874,24.66666666666667,4.0,53.356,9.6769,2.24,1.923333333333333,1.18,0.47857,4.08822
109,3.5,68.0,9.577996,11.6,4.8,24.085483,12.04083,2.8360000000000003,1.592,0.782,0.4927989999999999,1.86069
110,2.5,64.0,10.9728255,32.0,4.0,71.6571,10.39875,2.225,1.99,1.13,0.448895,5.56317
111,3.0,100.0,7.558488000000001,10.0,4.8,20.3920334,12.04083,2.904,1.626,0.91,0.499514,0.75585
112,5.8,58.0,11.35599,19.33333333333333,4.666666666666667,39.987666666666655,9.5408,2.33,1.88,1.106666666666667,0.4878333333333333,3.47589
113,2.5,114.0,8.42666,23.2,4.4,49.204038,10.75912,2.572,1.8590000000000004,0.944,0.4673040000000001,4.49372
114,2.5,196.0,30.92,24.5,5.5,53.4902975,10.0743,2.295,1.83,1.1949999999999998,0.4618992,4.5665
115,5.5,66.0,10.209328,22.66666666666667,4.333333333333333,50.23602,9.101866666666666,2.14,1.906666666666667,1.1933333333333334,0.4807316666666666,1.34593
116,6.0,90.0,11.874,10.0,4.666666666666667,20.86836578,12.041516666666665,2.58,1.7544444444444445,0.9666666666666668,0.4909011111111112,1.08186
117,3.8,112.0,11.775328000000002,15.833333333333336,4.666666666666667,33.33735333333333,11.373216666666664,2.765833333333333,1.7341666666666669,0.9533333333333333,0.4836016666666667,1.51422
118,2.5,214.0,24.574384,42.8,5.6,102.82756,9.370384,2.298,1.9072,1.2145,0.457149,5.52703
119,6.8,118.0,14.041988,11.4,4.8,24.789618,10.73364,2.7060000000000004,1.7420000000000002,0.928,0.4927989999999999,1.01032
120,2.8,98.0,1.7431599999999998,9.0,4.8,19.14036490625,12.04083,2.81,1.6309999999999998,0.91,0.4907199999999999,0.77755
121,5.5,86.0,5.203996,10.0,4.8,20.077018,10.78917,2.766,1.711,0.958,0.4960699999999999,0.78937
122,5.5,70.0,4.073996,10.0,4.8,20.213348778,10.91369,2.7060000000000004,1.6780000000000002,0.892,0.4927989999999999,0.8117
123,2.0,50.0,3.253996,10.0,4.4,20.016938,11.16682,2.7380000000000004,1.7420000000000002,0.928,0.48502,0.80631
124,6.0,72.0,5.876907999999999,12.0,5.0,24.5691257,11.1479375,2.848333333333333,1.7166666666666668,0.92,0.48752,1.13436
125,6.8,114.0,10.803992,14.4,4.4,31.574635600000004,11.14446,2.934,1.732,0.9,0.4820359999999999,1.50239
126,3.8,96.0,8.42666,9.2,4.8,18.60817185,11.79886,2.7060000000000004,1.6780000000000002,0.892,0.498454,0.53898
127,3.5,100.0,7.441332000000001,10.0,4.8,20.3920334,11.64556,2.94,1.66,0.96,0.49954,1.45419
128,6.3,74.0,14.883996000000002,14.4,5.2,30.341818,11.28095,2.884,1.7280000000000002,0.882,0.4862359999999999,2.4836
129,2.5,68.0,3.94991025,6.5,3.5636363636363635,12.772448863636363,13.065292727272729,2.752,1.3972727272727272,0.5856363636363636,0.7063972727272727,0.40528
130,5.5,482.0,37.776992,10.0,4.4444444444444455,20.65142388888889,10.939875755555555,2.7,1.6444444444444444,0.9166666666666666,0.5433911111111112,1.09501
131,3.5,90.0,11.775328000000002,18.0,4.8,39.466738,12.0034,2.884,1.662,0.792,0.474714,2.22761
132,2.0,46.0,9.577996,15.0,4.0,33.739258,10.5174,2.62,1.77,1.045,0.475954,1.49127
133,2.5,75.0,10.179328,10.714285714285714,3.7142857142857135,22.35173142857143,9.0611,2.225714285714285,1.9085714285714288,1.2,0.4375828571428572,1.4092
134,5.5,60.0,8.359328,18.666666666666668,4.666666666666667,40.968055,11.667433333333332,2.736666666666667,1.768333333333333,0.98,0.4789183333333333,1.10402
135,5.5,87.0,20.362,31.75,4.0,70.86454624999998,9.8771,1.985,1.925,1.1925,0.447985,6.46538
136,5.5,100.0,0.8649950000000001,10.0,4.8,20.077018,10.565180000000002,2.708,1.7280000000000002,0.8800000000000001,0.4927189999999999,0.40894
137,2.0,128.0,16.0,16.0,4.0,32.059,9.0432,2.14,1.8,1.14,0.49897,0.74015
138,5.0,30.0,2.70174775,10.0,4.8,20.2988926326,12.04083,2.5660000000000003,1.775,0.945,0.4927189999999999,0.80479
139,6.0,46.0,8.42666,23.0,4.0,48.7195,10.0743,2.545,1.75,0.96,0.477854,4.57578
140,1.8,122.0,13.35,20.5,4.0,47.8025,9.8771,2.33,1.88,1.2,0.47888,3.31333
141,3.0,43.0,7.4428315,5.75,3.75,10.53794033333333,12.1934125,2.0200000000000005,1.394,0.71,0.695602,0.65972
142,5.8,30.0,1.55316,10.0,4.666666666666667,20.185395713333328,8.5318,2.33,1.88,1.106666666666667,0.4878333333333333,0.33885
143,2.5,92.0,5.230979499999999,9.2,4.8,18.439538,11.64556,2.8280000000000003,1.682,0.836,0.499514,0.6698
144,2.5,126.0,13.385996,12.6,4.8,24.085483,11.43734,2.826,1.7880000000000005,0.914,0.492719,0.38903
145,2.3,100.0,15.604,18.0,5.0,39.568056,12.0863,2.455,1.8,1.04,0.49897,2.015
146,2.5,311.0,35.702971000000005,31.5,5.0,74.71870600000003,11.6604875,2.6725000000000003,1.80875,0.945,0.47382125,4.44055
147,3.5,472.0,32.75022425,6.1719576719576725,3.3412698412698414,11.990559656984123,12.40335343915344,2.595,1.4644179894179896,0.6280423280423281,0.6985566137566138,0.50389
148,6.0,128.0,11.463996000000002,12.0,4.0,24.50301875,11.11696,2.705,1.765,0.965,0.4927359999999999,0.51039
149,6.0,80.0,5.8963280000000005,10.0,4.666666666666667,22.84969058333333,11.259955555555557,2.793333333333333,1.7544444444444445,0.9666666666666666,0.4909011111111112,1.00958
150,9.0,464.0,36.2474575,9.96,4.0,19.397353333333328,11.777640000000002,2.708,1.648,0.8959999999999999,0.499514,0.7768
151,2.3,96.0,15.55,48.0,4.0,116.3255,10.39875,2.24,2.015,1.1800000000000002,0.448895,7.715
152,5.5,38.0,4.542664,12.666666666666664,4.666666666666667,26.621686666666665,11.824266666666665,2.765833333333333,1.7366666666666666,0.8933333333333332,0.4819691666666667,0.86102
153,6.0,100.0,1.741332,10.0,4.8,20.2988926326,11.16682,2.8280000000000003,1.656,0.836,0.49282,0.73671
154,2.0,96.0,15.604,48.0,4.8,116.3255,12.41584,2.39,2.055,0.6639999999999999,0.695602,2.01939
155,5.5,131.0,25.721328,21.0,4.666666666666667,50.54252,11.63995,2.901666666666667,1.72,0.92,0.4767116666666666,4.5665
156,6.8,196.0,27.403984,24.5,4.5,53.441338,11.2603,2.295,1.825,1.12,0.48273,0.07675
157,6.0,58.0,0.973995,11.0,4.0,29.525338,10.2719,2.58,1.8,1.04,0.49897,0.86614
158,2.3,165.0,20.855328,31.33333333333333,4.0,75.83935333333334,11.9482,2.3816666666666664,1.7183333333333335,0.9666666666666668,0.4675316666666667,4.5665
159,3.3,46.0,2.70174775,7.5,4.0,14.996859625,11.7051,2.545,1.495,0.71,0.6184925,0.62275
160,5.5,86.0,10.179328,13.0,4.571428571428571,29.110017142857146,11.130928571428573,2.647142857142857,1.6871428571428573,0.9285714285714286,0.4831614285714286,1.48857
161,3.8,107.0,11.437322,10.5,4.8,21.9893120372,11.443499999999998,2.7065,1.6407999999999998,0.8216,0.5566228000000001,1.50633
162,2.8,100.0,5.505328,10.0,5.333333333333333,20.766935442,12.874275000000004,2.8766666666666665,1.7100000000000002,0.8959999999999999,0.5654908333333334,0.43591
163,6.0,100.0,0.9633992000000001,10.0,4.8,20.077018,11.33044,2.7060000000000004,1.7280000000000002,0.892,0.498454,0.80212
164,1.5,0.0,0.087575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07675
165,5.3,58.0,7.134331999999999,11.5,4.0,24.50301875,11.026725,2.68,1.875,0.8525,0.479405,1.05605
166,2.5,20.0,1.741332,10.0,4.0,20.9940862215,10.39875,2.455,1.87,1.02,0.4789899999999999,0.49925
167,3.0,144.0,17.46,24.4,5.6,53.441338,10.52605,2.352,1.9072,0.965,0.4775399999999999,3.52072
168,5.5,126.0,26.090000000000003,39.5,4.5,90.2267,11.2520375,2.81,1.8875,1.1275,0.4448824999999999,6.44467
169,6.0,70.0,3.555328,10.0,4.8,20.9941265318,10.73364,2.66,1.626,0.958,0.4957955,0.82343
170,1.5,108.0,11.351332,27.5,4.0,64.9132175,11.52584,2.94,1.66,0.985,0.4679350000000001,3.52219
171,3.8,80.0,7.734660000000001,10.0,5.0,20.255278375,11.026725,2.79,1.6725,0.8525,0.495275,0.53275
172,1.8,180.0,14.485992,9.0,4.8,18.5863611398,12.0863,2.648,1.626,0.8640000000000001,0.4927989999999999,0.82565
173,6.0,28.0,7.441332000000001,13.0,4.0,27.46149333333333,11.14446,2.495,1.745,0.91,0.4820359999999999,1.3748
174,5.5,128.0,16.0,16.0,4.0,32.059,9.08885,2.135,1.97,1.29,0.47888,0.93673
175,3.8,92.0,4.9568275,9.2,4.8,18.5863611398,12.63188,2.8280000000000003,1.644,0.9190000000000002,0.4690149999999999,0.53918
176,5.3,102.0,27.10599,42.66666666666667,4.0,103.49857999999998,10.296858333333333,2.225,1.9,0.945,0.4660609999999999,4.86505
177,6.3,93.0,10.124328,19.33333333333333,4.666666666666667,39.987666666666655,11.252966666666666,2.33,1.8966666666666667,0.9733333333333332,0.4878333333333333,1.12928
178,5.5,72.0,5.43974375,8.333333333333334,4.4444444444444455,16.210698944222223,11.5059,2.6866666666666665,1.5844444444444443,0.8144444444444444,0.5433911111111112,0.74876
179,3.8,122.0,13.551332,12.3,4.8,24.789618,12.30176,2.7270000000000003,1.767,0.91,0.496167,1.775
180,2.0,202.0,20.755328,20.5,4.0,47.8025,11.14446,2.24,1.88,0.9,0.47888,3.20755
181,6.0,120.0,8.836996000000001,12.0,4.0,24.808518,10.0743,2.675,1.875,0.98,0.492719,1.11239
182,6.0,72.0,4.5453280000000005,10.5,4.333333333333333,20.213348778,10.296858333333333,2.6308333333333334,1.7516666666666667,0.9266666666666667,0.4918758333333333,0.91318
183,6.0,108.0,8.885992,10.8,4.8,21.654418,10.987245,2.72,1.7795,0.946,0.4957955,0.86021
184,5.5,100.0,7.558488,10.0,4.8,20.3920334,12.04083,2.72,1.7630000000000003,0.96,0.4927359999999999,0.76176
185,5.8,104.0,8.841328,17.333333333333332,4.333333333333333,39.987666666666655,11.35495,2.53,1.88,0.98,0.48273,1.43111
186,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
187,6.0,151.0,26.092,22.8,4.8,50.1811,11.17714,2.684,1.7700000000000002,0.914,0.498454,2.78022
188,7.0,30.0,2.3326640000000003,10.0,5.333333333333333,20.02735333333333,11.795966666666668,2.9349999999999996,1.7133333333333336,0.8066666666666666,0.4995066666666667,0.80454
189,6.0,30.0,2.3326640000000003,10.0,4.666666666666667,20.185395713333328,11.667433333333332,2.736666666666667,1.7400000000000002,0.9733333333333332,0.4995066666666667,0.77755
190,3.0,93.0,11.354575,7.75,3.9166666666666665,15.57035849983333,12.714558333333336,2.77,1.4466666666666663,0.6208333333333335,0.6612241666666667,0.44035
191,5.5,55.0,8.795996,12.5,4.8,25.408218,10.52605,2.495,1.765,0.98,0.4911100000000001,1.2832
192,3.0,50.0,3.253996,10.0,4.8,20.016938,11.47577,2.774,1.714,0.882,0.499726,0.80479
193,6.3,94.0,21.124328,15.666666666666664,4.333333333333333,33.33735333333333,9.4533,2.14,1.99,1.2533333333333332,0.4878333333333333,2.732
194,6.0,104.0,0.907992,10.0,5.333333333333333,20.185395713333328,11.857833333333335,2.848333333333333,1.65,0.8416666666666668,0.490932,0.84019
195,1.8,136.0,0.67543675,11.6,4.5,23.033434166666662,10.296858333333333,2.500833333333333,1.8000000000000005,1.04,0.49512,0.37005
196,6.3,50.0,4.663996,10.0,4.8,20.9941265318,10.565180000000002,2.684,1.732,0.964,0.4927359999999999,0.99413
197,7.5,30.0,5.62148,7.5,4.0,14.996859625,11.7051,2.68,1.5725,0.7225,0.6184925,0.56731
198,5.5,20.0,1.7428315,10.0,4.8,20.492449117625004,12.30176,2.825,1.626,0.91,0.491678,0.87067
199,2.8,790.0,105.514,39.5,5.3,93.78445,9.273855,2.279,1.907,1.2145,0.44942,5.118
200,6.0,80.0,5.230979499999999,10.0,4.44,20.02735333333333,10.745844000000002,2.585,1.7880000000000005,0.9483333333333334,0.4982824999999999,0.76486
201,2.0,40.0,0.97258,18.0,4.0,40.034618484848494,9.05335,1.98,1.77,1.31,0.4771483333333333,1.96255
202,3.3,220.0,24.70666,24.5,5.5,53.4902975,11.6604875,2.2225,1.9075,0.9825,0.47382125,3.78486
203,4.0,40.0,2.3341635000000003,6.666666666666668,4.0,13.016128333333334,12.700466666666664,2.77,1.4766666666666668,0.6166666666666667,0.49968,0.68424
204,2.5,98.0,15.43,49.0,4.0,119.6295,8.888349999999997,1.96,1.91,1.185,0.44736,6.0674
205,2.8,100.0,8.885992,10.0,4.8,20.93888802,11.777640000000002,2.754,1.743,0.8959999999999999,0.4946015000000001,0.58105
206,2.5,146.0,13.385996,46.5,5.3,108.295515,10.43734,2.53,1.908,1.104,0.4673040000000001,6.313
207,5.5,46.0,9.683996,14.6,4.4,30.341818,10.629,2.7380000000000004,1.7280000000000002,0.928,0.48502,1.86481
